Season,Cumulo,Nodo,x,y,Rodq0,Rodq1,Rodq2,RodAbu,AbuPero,AbuLio,PredAbun,Aspect,Slope,ProxIE0.5,NDVI,EVI,IE250,IE1000
1,0,57,-100.319908,25.611679,1,1,1,3,3,0,3.890892336,327.5288,27.86021,0,0.789679,0.508025,0.7324,0.5242
1,0,58,-100.270036,25.542663,3,2.505348,2.322581,15,3,0,5.02739673,299.876,23.72483,0.018529,0.763858,0.364636,0.872,0.8526
1,0,59,-100.35833,25.61443,0,0,0,0,0,0,6.796916326,328.2405,11.32401,0.006666,0.878918,0.551969,0.8509,0.9323
1,0,60,-100.338254,25.597168,0,0,0,0,0,0,6.570325584,35.78897,23.25833,0.019182,0.862916,0.625774,0.9644,0.7381
1,0,61,-100.27866,25.53107,4,3.709079298,3.52173913,32,12,1,3.996087122,356.9872,8.769732,0.030227,0.952199,0.498047,0.8812,0.9464
1,1,62,-100.14468,25.31496,4,2.831594095,2.245614035,45,15,3,1.049647575,255.2564,25.543,0.03755,0.701891,0.437972,0.8822,0.8652
1,1,63,-100.13216,25.300875,5,3.954192477,3.571428571,40,10,3,0.741722909,305.2176,34.01444,0.05335,1,0.170981,0.8822,0.8993
1,1,64,-100.14925,25.30642,4,3.063002875,2.651629073,52,11,8,2.928035824,78.69007,18.30149,0.044062,0.468,0.253687,0.8819,0.8231
1,1,65,-100.138208,25.292633,1,1,1,4,2,0,2.265638214,97.52382,23.43488,0.059905,0.870529,0.452514,0.8729,0.9385
1,1,66,-100.1231,25.278337,5,4.02070953,3.663316583,34,5,4,5.639626526,68.62938,11.32401,0.04949,0.749697,0.385648,0.9015,0.8558
2,0,57,-100.319908,25.611679,2,1.994085753,1.988235294,13,5,0,6.481736245,327.5288,27.86021,0,0.789427,0.542518,0.7324,0.5242
2,0,58,-100.270036,25.542663,4,3.596115467,3.333333333,23,11,1,3.95189737,299.876,23.72483,0.018529,0.828296,0.599588,0.872,0.8526
2,0,59,-100.35833,25.61443,0,0,0,0,0,0,6.954946811,328.2405,11.32401,0.006666,0.79806,0.539743,0.8509,0.9323
2,0,60,-100.338254,25.597168,2,1.889881575,1.8,6,4,0,2.858711643,35.78897,23.25833,0.019182,0.715954,0.518408,0.9644,0.7381
2,0,61,-100.27866,25.53107,4,2.725071379,2.398804441,30,15,3,4.984402038,356.9872,8.769732,0.030227,0.90052,0.390907,0.8812,0.9464
2,1,62,-100.14468,25.31496,2,1.929301001,1.867219917,33,22,0,4.860942564,255.2564,25.543,0.03755,0.904241,0.492519,0.8822,0.8652
2,1,63,-100.13216,25.300875,3,2.152281259,1.995012469,40,20,1,1.81930476,305.2176,34.01444,0.05335,0.78134,0.578152,0.8822,0.8993
2,1,64,-100.14925,25.30642,4,3.103145666,2.745762712,39,19,1,2.699321064,78.69007,18.30149,0.044062,0.82124,0.596302,0.8819,0.8231
2,1,65,-100.138208,25.292633,6,4.257272393,3.62254025,45,13,2,3.986616452,97.52382,23.43488,0.059905,0.731494,0.42708,0.8729,0.9385
2,1,66,-100.1231,25.278337,5,3.311154816,2.769230769,24,5,0,3.096684957,68.62938,11.32401,0.04949,0.56802,0.374983,0.9015,0.8558
